prototype,name,n_descriptors,descriptors
0,"hollywood, excellent script, world war ii",3,tags=hollywood(score=0.965); tags=excellent script(score=0.958); tags=world war ii(score=0.956)
1,"male nudity, supernatural, dinosaurs",3,tags=male nudity(score=0.943); tags=supernatural(score=0.939); tags=dinosaurs(score=0.928)
2,"great music, absurd, witches",3,tags=great music(score=0.996); tags=absurd(score=0.978); tags=witches(score=0.950)
3,"musicians, too short, rio de janeiro",3,tags=musicians(score=0.969); tags=too short(score=0.961); tags=rio de janeiro(score=0.937)
4,"saturday night live, dark hero, shark",3,tags=saturday night live(score=0.964); tags=dark hero(score=0.955); tags=shark(score=0.952)
5,"time travel, war movie, coming of age",3,tags=time travel(score=0.926); tags=war movie(score=0.903); tags=coming of age(score=0.900)
6,"classic car, intellectual, fighting",3,tags=classic car(score=0.962); tags=intellectual(score=0.958); tags=fighting(score=0.942)
7,"philosophical, heartwarming, wedding",3,tags=philosophical(score=0.949); tags=heartwarming(score=0.939); tags=wedding(score=0.922)
8,"adoption, corny, foreign",3,tags=adoption(score=0.972); tags=corny(score=0.970); tags=foreign(score=0.959)
9,"spanish, immigrants, bizarre",3,tags=spanish(score=0.983); tags=immigrants(score=0.975); tags=bizarre(score=0.971)
10,"christmas, conspiracy, courtroom",3,tags=christmas(score=0.963); tags=conspiracy(score=0.934); tags=courtroom(score=0.917)
11,"fight scenes, horror, political corruption",3,tags=fight scenes(score=0.968); tags=horror(score=0.961); tags=political corruption(score=0.960)
12,"franchise, anime, alone in the world",3,tags=franchise(score=0.972); tags=anime(score=0.970); tags=alone in the world(score=0.954)
13,"Horror, hallucinatory, american civil war",3,genres=Horror(score=0.996); tags=hallucinatory(score=0.949); tags=american civil war(score=0.947)
14,"independent film, biopic, writers",3,tags=independent film(score=0.989); tags=biopic(score=0.961); tags=writers(score=0.952)
15,"texas, race issues, argentina",3,tags=texas(score=0.970); tags=race issues(score=0.925); tags=argentina(score=0.921)
16,"werewolves, mindfuck, life",3,tags=werewolves(score=0.944); tags=mindfuck(score=0.920); tags=life(score=0.906)
17,"alternate reality, goth, computer animation",3,tags=alternate reality(score=0.984); tags=goth(score=0.974); tags=computer animation(score=0.971)
18,"animated, insanity, comic book adaption",3,tags=animated(score=0.943); tags=insanity(score=0.927); tags=comic book adaption(score=0.925)
19,"culture clash, video games, afi 100",3,tags=culture clash(score=0.944); tags=video games(score=0.942); tags=afi 100(score=0.909)
20,"mother daughter relationship, heroin, betrayal",3,tags=mother daughter relationship(score=0.960); tags=heroin(score=0.946); tags=betrayal(score=0.924)
21,"sad, nonlinear, kids and family",3,tags=sad(score=0.987); tags=nonlinear(score=0.978); tags=kids and family(score=0.963)
22,"psychological, assassin, twist ending",3,tags=psychological(score=0.983); tags=assassin(score=0.934); tags=twist ending(score=0.922)
23,"jay and silent bob, view askew, depp & burton",3,tags=jay and silent bob(score=0.971); tags=view askew(score=0.971); tags=depp & burton(score=0.967)
24,"court, firefly, alternate universe",3,tags=court(score=0.895); tags=firefly(score=0.875); tags=alternate universe(score=0.869)
25,"philip k. dick, exciting, spies",3,tags=philip k. dick(score=0.990); tags=exciting(score=0.977); tags=spies(score=0.968)
26,"dance, broadway, cult film",3,tags=dance(score=0.959); tags=broadway(score=0.952); tags=cult film(score=0.938)
27,"lyrical, video game adaptation, mummy",3,tags=lyrical(score=0.957); tags=video game adaptation(score=0.942); tags=mummy(score=0.935)
28,"isolation, foul language, intense",3,tags=isolation(score=0.948); tags=foul language(score=0.899); tags=intense(score=0.897)
29,"casino, unique, spying",3,tags=casino(score=0.963); tags=unique(score=0.943); tags=spying(score=0.938)
30,"australia, beatles, cold war",3,tags=australia(score=0.948); tags=beatles(score=0.946); tags=cold war(score=0.940)
31,"oscar (best music - original song), masterpiece, francis ford copolla",3,tags=oscar (best music - original song)(score=0.968); tags=masterpiece(score=0.954); tags=francis ford copolla(score=0.950)
32,"tom clancy, nazis, good dialogue",3,tags=tom clancy(score=0.933); tags=nazis(score=0.922); tags=good dialogue(score=0.891)
33,"family drama, beautifully filmed, justice",3,tags=family drama(score=0.973); tags=beautifully filmed(score=0.957); tags=justice(score=0.955)
34,"british, witch, biography",3,tags=british(score=0.980); tags=witch(score=0.951); tags=biography(score=0.923)
35,"moon, strippers, giant robots",3,tags=moon(score=0.920); tags=strippers(score=0.898); tags=giant robots(score=0.886)
36,"dialogue, mother-son relationship, nudity (full frontal - brief)",3,tags=dialogue(score=0.946); tags=mother-son relationship(score=0.944); tags=nudity (full frontal - brief)(score=0.943)
37,"puppets, golf, children",3,tags=puppets(score=0.973); tags=golf(score=0.956); tags=children(score=0.944)
38,"oscar (best effects - visual effects), original plot, quotable",3,tags=oscar (best effects - visual effects)(score=0.993); tags=original plot(score=0.989); tags=quotable(score=0.987)
39,"campy, desert, complicated",3,tags=campy(score=0.961); tags=desert(score=0.953); tags=complicated(score=0.952)
40,"london, dramatic, cold war",3,tags=london(score=0.964); tags=dramatic(score=0.949); tags=cold war(score=0.929)
41,"transgender, hitman, lawyers",3,tags=transgender(score=0.961); tags=hitman(score=0.948); tags=lawyers(score=0.933)
42,"british comedy, bittersweet, mars",3,tags=british comedy(score=0.987); tags=bittersweet(score=0.972); tags=mars(score=0.971)
43,"criterion, silent, political",3,tags=criterion(score=0.992); tags=silent(score=0.976); tags=political(score=0.968)
44,"spaghetti western, aviation, motorcycle",3,tags=spaghetti western(score=0.973); tags=aviation(score=0.951); tags=motorcycle(score=0.929)
45,"women, holiday, immortality",3,tags=women(score=0.977); tags=holiday(score=0.972); tags=immortality(score=0.958)
46,"dark, snakes, sexualized violence",3,tags=dark(score=0.970); tags=snakes(score=0.961); tags=sexualized violence(score=0.956)
