prototype,name,n_descriptors,descriptors
0,"love triangles, private detective, Film-Noir",3,tags=love triangles(score=78.125); tags=private detective(score=46.875); genres=Film-Noir(score=40.064)
1,"star wars, original plot, man versus machine",3,tags=star wars(score=117.187); tags=original plot(score=78.125); tags=man versus machine(score=78.125)
2,"star wars, original plot, man versus machine",3,tags=star wars(score=117.187); tags=original plot(score=78.125); tags=man versus machine(score=78.125)
3,"good dialogue, tarantino, suprisingly clever",3,tags=good dialogue(score=78.125); tags=tarantino(score=78.125); tags=suprisingly clever(score=66.964)
4,"simple, toys, fairy tales",3,tags=simple(score=66.964); tags=toys(score=44.643); tags=fairy tales(score=41.667)
5,"genetics, teleportation, zombie",3,tags=genetics(score=62.500); tags=teleportation(score=44.643); tags=zombie(score=39.062)
6,"pg-13, freedom, virginity",3,tags=pg-13(score=35.511); tags=freedom(score=34.722); tags=virginity(score=31.250)
7,"pg-13, freedom, virginity",3,tags=pg-13(score=35.511); tags=freedom(score=34.722); tags=virginity(score=31.250)
8,"good dialogue, suprisingly clever, business",3,tags=good dialogue(score=52.083); tags=suprisingly clever(score=44.643); tags=business(score=39.062)
9,"star wars, original plot, man versus machine",3,tags=star wars(score=117.187); tags=original plot(score=78.125); tags=man versus machine(score=78.125)
10,"courtroom drama, excellent, rape",3,tags=courtroom drama(score=24.038); tags=excellent(score=22.321); tags=rape(score=18.382)
11,"golf, saturday night live, geek",3,tags=golf(score=62.500); tags=saturday night live(score=37.500); tags=geek(score=31.250)
12,"love triangles, private detective, Film-Noir",3,tags=love triangles(score=78.125); tags=private detective(score=46.875); genres=Film-Noir(score=40.064)
13,"golf, saturday night live, geek",3,tags=golf(score=62.500); tags=saturday night live(score=37.500); tags=geek(score=31.250)
14,"love triangles, private detective, Film-Noir",3,tags=love triangles(score=78.125); tags=private detective(score=46.875); genres=Film-Noir(score=40.064)
15,"genetics, teleportation, zombie",3,tags=genetics(score=62.500); tags=teleportation(score=44.643); tags=zombie(score=39.062)
16,"earnest, tom clancy, catastrophe",3,tags=earnest(score=72.917); tags=tom clancy(score=40.761); tags=catastrophe(score=39.062)
17,"good dialogue, tarantino, suprisingly clever",3,tags=good dialogue(score=78.125); tags=tarantino(score=78.125); tags=suprisingly clever(score=66.964)
18,"simple, toys, fairy tales",3,tags=simple(score=66.964); tags=toys(score=44.643); tags=fairy tales(score=41.667)
