item_id,item,title,year,genres,tags,item weight,prototype
167,50,"Usual Suspects, The (1995)",1995,Crime|Thriller,caper|classic|clever|complex|complicated|complicated plot|con men|conspiracy|crime|enigmatic|ensemble cast|excellent|excellent script|fast paced|good|good acting|good soundtrack|great|great acting|great dialogue|great ending|great movie|heist|imdb top 250|interesting|manipulation|masterpiece|mindfuck|mystery|narrated|neo-noir|noir thriller|organized crime|original|oscar (best actor)|oscar (best directing)|oscar (best supporting actor)|oscar (best writing - screenplay written directly for the screen)|oscar winner|plot|plot twist|police investigation|powerful ending|story|storytelling|stylish|suprisingly clever|surprise ending|suspense|suspenseful|thriller|tricky|twist|twist ending|twists & turns|very good|violence,1.9965267,0
163,296,Pulp Fiction (1994),1994,Crime|Drama,bloody|brutality|coen bros|cool|crime|crime gone awry|cult classic|cult film|dark humor|dialogue|dialogue driven|drugs|ensemble cast|entirely dialogue|excellent script|foul language|gangster|gangsters|golden palm|good acting|good dialogue|good soundtrack|gratuitous violence|great acting|great dialogue|great ending|great movie|great music|guns|highly quotable|hit men|imdb top 250|interesting|masterpiece|mob|multiple storylines|non-linear|nonlinear|organized crime|original|oscar (best supporting actor)|oscar (best writing - screenplay written directly for the screen)|pulp|quotable|sexualized violence|storytelling|stylish|stylized|suprisingly clever|talky|tarantino|twist|twists & turns|violence|violent|visceral|weird,1.9961271,0
43,608,Fargo (1996),1996,Crime|Drama|Thriller,absurd|based on true story|black comedy|coen bros|coen brothers|crime|crime gone awry|dark comedy|dark humor|excellent script|good soundtrack|gratuitous violence|great acting|greed|hit men|imdb top 250|interesting|kidnapping|masterpiece|minnesota|original|oscar (best actress)|oscar (best directing)|police investigation|quirky|storytelling|twists & turns|violence|violent|visually appealing|weird,1.9815447,0
185,1213,GoodFellas (1990),1990,Crime|Drama,adapted from:book|amazing cinematography|anti-hero|based on a book|based on book|based on true story|bloody|brutal|brutality|classic|crime|crime gone awry|dark humor|dialogue|drama|excellent script|fast paced|foul language|gangster|gangsters|good|good acting|good soundtrack|gratuitous violence|great acting|great dialogue|great ending|great movie|gritty|heist|highly quotable|hit men|imdb top 250|interesting|mafia|masterpiece|mentor|mob|narrated|organized crime|original|oscar (best actor)|oscar (best directing)|oscar (best picture)|oscar (best supporting actor)|powerful ending|quotable|rags to riches|storytelling|stylish|stylized|violence|violent|visceral,1.9749622,0
73,2858,American Beauty (1999),1999,Comedy|Drama,beautiful|beautifully filmed|bittersweet|cinematography|complex|cynical|dark humor|depression|drama|excellent script|good acting|good soundtrack|great acting|great ending|imdb top 250|interesting|life|loneliness|masterpiece|melancholic|midlife crisis|narrated|obsession|original|oscar|oscar (best actor)|oscar (best actress)|oscar (best directing)|oscar (best picture)|oscar (best supporting actor)|parenthood|powerful ending|reflective|relationships|sexuality|social commentary|storytelling|suburbia|thought-provoking|visually appealing|visually stunning,1.974886,0
316,1617,L.A. Confidential (1997),1997,Crime|Film-Noir|Mystery|Thriller,1950s|adapted from:book|anti-hero|based on book|cinematography|classic|complex|complicated|complicated plot|conspiracy|corruption|crime|detective|drama|excellent script|film noir|good|good acting|great|great acting|great ending|great movie|greed|imdb top 250|interesting|investigation|justice|los angeles|murder|neo-noir|noir|noir thriller|organized crime|original|oscar|oscar (best actor)|oscar (best actress)|oscar (best directing)|oscar (best picture)|oscar (best supporting actress)|plot twist|police|police corruption|police investigation|political corruption|story|storytelling|stylish|suspense|twists & turns|violence|violent|visually appealing,1.9708781,0
839,21,Get Shorty (1995),1995,Action|Comedy|Drama,based on a book|cool|gangster|gangsters|great|great dialogue|great movie|mob|original,1.963047,0
87,593,"Silence of the Lambs, The (1991)",1991,Drama|Thriller,adapted from:book|based on a book|based on book|cannibalism|creepy|crime|disturbing|drama|excellent|excellent script|exceptional acting|frightening|good|good acting|gory|great acting|great ending|great movie|gruesome|hannibal lecter|horror|imdb top 250|insanity|intense|interesting|investigation|manipulation|masterpiece|mentor|murder|original|oscar|oscar (best actor)|oscar (best actress)|oscar (best directing)|oscar (best picture)|oscar winner|police investigation|psychiatrist|psychiatry|psychological|psychology|quotable|serial killer|suspense|suspenseful|tense|thriller|twists & turns|violent,1.9616387,0
191,2890,Three Kings (1999),1999,Drama|War,anti-war|best war films|comedy|corruption|drama|forceful|gulf war|iraq|middle east|military|original|satire|satirical|stylized|violence|war|war movie|world politics,1.9182035,0
326,1358,Sling Blade (1996),1996,Drama|Thriller,childhood|compassionate|disability|dramatic|excellent script|friendship|good acting|good soundtrack|great acting|imdb top 250|interesting|mental illness|mentor|original|oscar (best actor)|oscar (best actress)|oscar (best directing)|small town|unlikely friendships|violent,1.9159522,0
311,2699,Arachnophobia (1990),1990,Action|Comedy|Sci-Fi|Thriller,creepy|horror|scary|small town|spiders,1.9903616,1
