prototype,name,n_descriptors,descriptors
0,"original, great acting, imdb top 250",3,tags=original(score=0.950); tags=great acting(score=0.900); tags=imdb top 250(score=0.850)
1,"Action, Sci-Fi, Thriller",3,genres=Action(score=0.650); genres=Sci-Fi(score=0.500); genres=Thriller(score=0.400)
2,"original, Comedy, classic",3,tags=original(score=1.000); genres=Comedy(score=0.900); tags=classic(score=0.900)
3,"Drama, cinematography, melancholic",3,genres=Drama(score=0.850); tags=cinematography(score=0.250); tags=melancholic(score=0.200)
4,"Comedy, comedy, funny",3,genres=Comedy(score=0.950); tags=comedy(score=0.950); tags=funny(score=0.750)
5,"Drama, mentor, drama",3,genres=Drama(score=1.000); tags=mentor(score=0.650); tags=drama(score=0.600)
6,"Sci-Fi, Action, sci fi",3,genres=Sci-Fi(score=0.800); genres=Action(score=0.750); tags=sci fi(score=0.700)
7,"Drama, Comedy, drama",3,genres=Drama(score=0.600); genres=Comedy(score=0.550); tags=drama(score=0.550)
8,"Drama, foreign, beautifully filmed",3,genres=Drama(score=0.850); tags=foreign(score=0.450); tags=beautifully filmed(score=0.350)
9,"Drama, Comedy, Romance",3,genres=Drama(score=0.900); genres=Comedy(score=0.400); genres=Romance(score=0.250)
10,"Action, action, good action",3,genres=Action(score=0.850); tags=action(score=0.850); tags=good action(score=0.800)
11,"Horror, Thriller, horror",3,genres=Horror(score=0.650); genres=Thriller(score=0.550); tags=horror(score=0.500)
12,"Comedy, Action, comedy",3,genres=Comedy(score=0.600); genres=Action(score=0.500); tags=comedy(score=0.400)
13,"Horror, horror, Sci-Fi",3,genres=Horror(score=0.900); tags=horror(score=0.650); genres=Sci-Fi(score=0.600)
14,"Drama, original, Comedy",3,genres=Drama(score=0.600); tags=original(score=0.550); genres=Comedy(score=0.400)
15,"Comedy, teen, teen movie",3,genres=Comedy(score=1.000); tags=teen(score=0.400); tags=teen movie(score=0.400)
16,"Action, action, Sci-Fi",3,genres=Action(score=0.900); tags=action(score=0.900); genres=Sci-Fi(score=0.600)
17,"original, Comedy, Drama",3,tags=original(score=0.900); genres=Comedy(score=0.650); genres=Drama(score=0.500)
18,"original, cult classic, Sci-Fi",3,tags=original(score=0.950); tags=cult classic(score=0.550); genres=Sci-Fi(score=0.500)
19,"imdb top 250, masterpiece, oscar (best directing)",3,tags=imdb top 250(score=0.950); tags=masterpiece(score=0.800); tags=oscar (best directing)(score=0.800)
20,"Drama, great acting, beautifully filmed",3,genres=Drama(score=1.000); tags=great acting(score=0.500); tags=beautifully filmed(score=0.400)
21,"Comedy, original, imdb top 250",3,genres=Comedy(score=0.800); tags=original(score=0.800); tags=imdb top 250(score=0.750)
22,"Action, Thriller, action",3,genres=Action(score=0.600); genres=Thriller(score=0.550); tags=action(score=0.500)
23,"Comedy, comedy, funny",3,genres=Comedy(score=1.000); tags=comedy(score=0.950); tags=funny(score=0.850)
24,"Children's, animation, disney",3,genres=Children's(score=0.700); tags=animation(score=0.700); tags=disney(score=0.700)
25,"Action, action, great movie",3,genres=Action(score=0.900); tags=action(score=0.900); tags=great movie(score=0.800)
26,"Comedy, Musical, musical",3,genres=Comedy(score=0.550); genres=Musical(score=0.500); tags=musical(score=0.450)
27,"Children's, Comedy, family",3,genres=Children's(score=0.800); genres=Comedy(score=0.700); tags=family(score=0.650)
28,"original, great acting, Drama",3,tags=original(score=0.700); tags=great acting(score=0.650); genres=Drama(score=0.550)
29,"Drama, drama, great acting",3,genres=Drama(score=0.900); tags=drama(score=0.800); tags=great acting(score=0.700)
30,"Comedy, imdb top 250, classic",3,genres=Comedy(score=0.750); tags=imdb top 250(score=0.750); tags=classic(score=0.650)
31,"imdb top 250, original, masterpiece",3,tags=imdb top 250(score=1.000); tags=original(score=0.950); tags=masterpiece(score=0.900)
32,"Drama, mentor, drama",3,genres=Drama(score=0.700); tags=mentor(score=0.450); tags=drama(score=0.400)
33,"Drama, Romance, relationships",3,genres=Drama(score=0.900); genres=Romance(score=0.300); tags=relationships(score=0.300)
34,"Comedy, original, Romance",3,genres=Comedy(score=0.900); tags=original(score=0.700); genres=Romance(score=0.550)
35,"Children's, animation, Animation",3,genres=Children's(score=0.600); tags=animation(score=0.600); genres=Animation(score=0.550)
36,"original, good soundtrack, great acting",3,tags=original(score=1.000); tags=good soundtrack(score=0.650); tags=great acting(score=0.600)
37,"Comedy, comedy, original",3,genres=Comedy(score=0.900); tags=comedy(score=0.600); tags=original(score=0.550)
38,"imdb top 250, original, excellent script",3,tags=imdb top 250(score=0.950); tags=original(score=0.850); tags=excellent script(score=0.650)
39,"criterion, imdb top 250, masterpiece",3,tags=criterion(score=0.850); tags=imdb top 250(score=0.850); tags=masterpiece(score=0.850)
40,"Drama, oscar (best directing), dramatic",3,genres=Drama(score=0.800); tags=oscar (best directing)(score=0.750); tags=dramatic(score=0.650)
41,"original, Comedy, good soundtrack",3,tags=original(score=0.950); genres=Comedy(score=0.800); tags=good soundtrack(score=0.500)
42,"Comedy, Drama, oscar (best actress)",3,genres=Comedy(score=0.400); genres=Drama(score=0.400); tags=oscar (best actress)(score=0.400)
43,"Drama, criterion, masterpiece",3,genres=Drama(score=0.900); tags=criterion(score=0.800); tags=masterpiece(score=0.600)
44,"Action, gunfight, Western",3,genres=Action(score=0.650); tags=gunfight(score=0.600); genres=Western(score=0.500)
45,"Drama, Romance, Comedy",3,genres=Drama(score=0.800); genres=Romance(score=0.700); genres=Comedy(score=0.550)
46,"Action, action, Sci-Fi",3,genres=Action(score=1.000); tags=action(score=0.950); genres=Sci-Fi(score=0.650)
47,"Comedy, comedy, funny",3,genres=Comedy(score=0.900); tags=comedy(score=0.750); tags=funny(score=0.700)
48,"classic, imdb top 250, original",3,tags=classic(score=0.800); tags=imdb top 250(score=0.750); tags=original(score=0.750)
49,"imdb top 250, oscar (best directing), Drama",3,tags=imdb top 250(score=0.950); tags=oscar (best directing)(score=0.850); genres=Drama(score=0.700)
50,"great acting, original, excellent script",3,tags=great acting(score=0.800); tags=original(score=0.800); tags=excellent script(score=0.750)
51,"Thriller, Drama, thriller",3,genres=Thriller(score=0.800); genres=Drama(score=0.450); tags=thriller(score=0.350)
52,"Drama, Romance, Comedy",3,genres=Drama(score=0.850); genres=Romance(score=0.450); genres=Comedy(score=0.350)
53,"original, Drama, criterion",3,tags=original(score=0.900); genres=Drama(score=0.800); tags=criterion(score=0.350)
54,"great acting, imdb top 250, oscar (best directing)",3,tags=great acting(score=0.750); tags=imdb top 250(score=0.750); tags=oscar (best directing)(score=0.700)
55,"Action, action, good action",3,genres=Action(score=0.950); tags=action(score=0.850); tags=good action(score=0.750)
56,"Action, action, great movie",3,genres=Action(score=0.900); tags=action(score=0.900); tags=great movie(score=0.750)
57,"Action, action, Sci-Fi",3,genres=Action(score=1.000); tags=action(score=0.750); genres=Sci-Fi(score=0.550)
58,"Action, action, imdb top 250",3,genres=Action(score=1.000); tags=action(score=0.850); tags=imdb top 250(score=0.800)
59,"Drama, original, Comedy",3,genres=Drama(score=0.800); tags=original(score=0.650); genres=Comedy(score=0.500)
60,"original, good soundtrack, violence",3,tags=original(score=0.650); tags=good soundtrack(score=0.500); tags=violence(score=0.500)
