prototype,name,n_descriptors,descriptors
0,"slasher, halloween, demons",3,tags=slasher(score=27.778); tags=halloween(score=22.321); tags=demons(score=12.500)
1,"italy, jane austen, 19th century",3,tags=italy(score=104.167); tags=jane austen(score=78.125); tags=19th century(score=52.083)
2,"magic realism, russian, unusual plot structure",3,tags=magic realism(score=26.042); tags=russian(score=16.447); tags=unusual plot structure(score=10.776)
3,"simple, broadway, dance",3,tags=simple(score=66.964); tags=broadway(score=44.643); tags=dance(score=29.297)
4,"nerds, muppets, puppets",3,tags=nerds(score=104.167); tags=muppets(score=34.722); tags=puppets(score=34.722)
5,"werewolves, frightening, werewolf",3,tags=werewolves(score=62.500); tags=frightening(score=39.062); tags=werewolf(score=39.062)
6,"aardman studios, claymation, aardman",3,tags=aardman studios(score=104.167); tags=claymation(score=104.167); tags=aardman(score=93.750)
7,"kidnapping, guns, vigilante",3,tags=kidnapping(score=28.409); tags=guns(score=19.531); tags=vigilante(score=18.750)
8,"segregation, passionate, biography",3,tags=segregation(score=13.587); tags=passionate(score=9.766); tags=biography(score=7.267)
9,"mummy, werewolf, mad scientist",3,tags=mummy(score=44.643); tags=werewolf(score=39.062); tags=mad scientist(score=37.500)
10,"business, crime gone awry, caper",3,tags=business(score=39.062); tags=crime gone awry(score=28.409); tags=caper(score=18.750)
11,"ireland, irish, irish accent",3,tags=ireland(score=16.447); tags=irish(score=14.648); tags=irish accent(score=8.681)
12,"solitude, russian, art house",3,tags=solitude(score=31.250); tags=russian(score=16.447); tags=art house(score=16.164)
13,"broadway, good music, musical",3,tags=broadway(score=33.482); tags=good music(score=16.026); tags=musical(score=14.205)
14,"nudity (topless - brief), courtroom drama, investigation",3,tags=nudity (topless - brief)(score=39.062); tags=courtroom drama(score=24.038); tags=investigation(score=18.750)
15,"american civil war, western, Western",3,tags=american civil war(score=44.643); tags=western(score=22.866); genres=Western(score=20.833)
16,"latin america, nudity (full frontal), controversial",3,tags=latin america(score=39.062); tags=nudity (full frontal)(score=31.250); tags=controversial(score=13.021)
17,"maze, visuals, memory",3,tags=maze(score=78.125); tags=visuals(score=78.125); tags=memory(score=62.500)
18,"too short, dinosaurs, entertaining",3,tags=too short(score=66.964); tags=dinosaurs(score=44.643); tags=entertaining(score=24.038)
