prototype,name,n_descriptors,descriptors
0,"shopping, good romantic comedies, wedding",3,tags=shopping(score=156.250); tags=good romantic comedies(score=63.920); tags=wedding(score=44.643)
1,"shopping, good romantic comedies, wedding",3,tags=shopping(score=156.250); tags=good romantic comedies(score=63.920); tags=wedding(score=44.643)
2,"shopping, good romantic comedies, wedding",3,tags=shopping(score=156.250); tags=good romantic comedies(score=63.920); tags=wedding(score=44.643)
3,"love triangles, private detective, afi 100 (movie quotes)",3,tags=love triangles(score=78.125); tags=private detective(score=46.875); tags=afi 100 (movie quotes)(score=37.202)
4,"shopping, good romantic comedies, wedding",3,tags=shopping(score=156.250); tags=good romantic comedies(score=63.920); tags=wedding(score=44.643)
5,"shopping, good romantic comedies, wedding",3,tags=shopping(score=156.250); tags=good romantic comedies(score=63.920); tags=wedding(score=44.643)
6,"shopping, good romantic comedies, wedding",3,tags=shopping(score=156.250); tags=good romantic comedies(score=63.920); tags=wedding(score=44.643)
7,"private detective, afi 100 (movie quotes), screwball",3,tags=private detective(score=46.875); tags=afi 100 (movie quotes)(score=37.202); tags=screwball(score=36.765)
8,"man versus machine, star wars, original plot",3,tags=man versus machine(score=117.187); tags=star wars(score=117.187); tags=original plot(score=109.375)
9,"shopping, good romantic comedies, wedding",3,tags=shopping(score=156.250); tags=good romantic comedies(score=63.920); tags=wedding(score=44.643)
10,"shopping, good romantic comedies, wedding",3,tags=shopping(score=156.250); tags=good romantic comedies(score=63.920); tags=wedding(score=44.643)
11,"oscar (best writing - screenplay written directly for the screen), suprisingly clever, good acting",3,tags=oscar (best writing - screenplay written directly for the screen)(score=66.964); tags=suprisingly clever(score=66.964); tags=good acting(score=62.500)
12,"shopping, good romantic comedies, wedding",3,tags=shopping(score=156.250); tags=good romantic comedies(score=63.920); tags=wedding(score=44.643)
13,"shopping, good romantic comedies, wedding",3,tags=shopping(score=156.250); tags=good romantic comedies(score=63.920); tags=wedding(score=44.643)
14,"shopping, good romantic comedies, wedding",3,tags=shopping(score=156.250); tags=good romantic comedies(score=63.920); tags=wedding(score=44.643)
15,"visuals, nonlinear, thought-provoking",3,tags=visuals(score=78.125); tags=nonlinear(score=62.500); tags=thought-provoking(score=54.687)
16,"private detective, afi 100 (movie quotes), screwball",3,tags=private detective(score=46.875); tags=afi 100 (movie quotes)(score=37.202); tags=screwball(score=36.765)
