prototype,name,n_descriptors,descriptors
0,"suprisingly clever, nonlinear, good acting",3,tags=suprisingly clever(score=66.964); tags=nonlinear(score=62.500); tags=good acting(score=58.036)
1,"hong kong, blood, kung fu",3,tags=hong kong(score=39.062); tags=blood(score=34.722); tags=kung fu(score=29.762)
2,"monty python, absurd, farce",3,tags=monty python(score=104.167); tags=absurd(score=49.716); tags=farce(score=44.643)
3,"new jersey, dysfunctional family, foreign",3,tags=new jersey(score=17.361); tags=dysfunctional family(score=13.393); tags=foreign(score=9.014)
4,"idiotic, stupid, stupidity",3,tags=idiotic(score=60.096); tags=stupid(score=58.594); tags=stupidity(score=57.566)
5,"based on a true story, inspirational, courtroom drama",3,tags=based on a true story(score=42.230); tags=inspirational(score=39.062); tags=courtroom drama(score=36.058)
6,"snakes, star trek, post apocalyptic",3,tags=snakes(score=52.083); tags=star trek(score=52.083); tags=post apocalyptic(score=44.643)
7,"earnest, nostalgic, baseball",3,tags=earnest(score=41.667); tags=nostalgic(score=28.783); tags=baseball(score=28.409)
8,"immigrants, solitude, china",3,tags=immigrants(score=62.500); tags=solitude(score=31.250); tags=china(score=29.297)
9,"china, glbt, oscar (best foreign language film)",3,tags=china(score=19.531); tags=glbt(score=12.500); tags=oscar (best foreign language film)(score=12.500)
10,"terrorism, exciting, explosions",3,tags=terrorism(score=78.125); tags=exciting(score=44.643); tags=explosions(score=37.500)
11,"halloween, crappy sequel, ninja",3,tags=halloween(score=55.804); tags=crappy sequel(score=31.250); tags=ninja(score=28.409)
12,"batman, super-hero, comic book",3,tags=batman(score=62.500); tags=super-hero(score=44.643); tags=comic book(score=42.614)
13,"teleportation, monster, vampire",3,tags=teleportation(score=44.643); tags=monster(score=19.531); tags=vampire(score=19.531)
14,"pretentious, deadpan, documentary",3,tags=pretentious(score=66.964); tags=deadpan(score=24.038); tags=documentary(score=19.055)
15,"cheerleading, fake documentary, teenagers",3,tags=cheerleading(score=41.118); tags=fake documentary(score=28.409); tags=teenagers(score=24.414)
16,"marvel, dynamic cgi action, based on comic",3,tags=marvel(score=156.250); tags=dynamic cgi action(score=62.500); tags=based on comic(score=36.058)
17,"jay and silent bob, view askew, beautiful",3,tags=jay and silent bob(score=78.125); tags=view askew(score=78.125); tags=beautiful(score=52.083)
18,"cult, gilliam, blood",3,tags=cult(score=48.077); tags=gilliam(score=44.643); tags=blood(score=34.722)
19,"love triangles, afi 100, afi 100 (movie quotes)",3,tags=love triangles(score=78.125); tags=afi 100(score=39.062); tags=afi 100 (movie quotes)(score=37.202)
20,"excellent, father son relationship, compassionate",3,tags=excellent(score=22.321); tags=father son relationship(score=22.321); tags=compassionate(score=21.552)
21,"pixar, pixar animation, toys",3,tags=pixar(score=104.167); tags=pixar animation(score=104.167); tags=toys(score=66.964)
22,"realistic action, hitman, cool",3,tags=realistic action(score=32.895); tags=hitman(score=31.250); tags=cool(score=28.409)
23,"gross-out, crude humor, dumb",3,tags=gross-out(score=104.167); tags=crude humor(score=97.656); tags=dumb(score=74.013)
24,"simple, disney animated feature, talking animals",3,tags=simple(score=89.286); tags=disney animated feature(score=44.643); tags=talking animals(score=39.971)
25,"man versus machine, star wars, artificial intelligence",3,tags=man versus machine(score=117.187); tags=star wars(score=117.187); tags=artificial intelligence(score=104.167)
26,"broadway, good music, musical",3,tags=broadway(score=55.804); tags=good music(score=28.045); tags=musical(score=25.568)
27,"disney, dog, dogs",3,tags=disney(score=23.148); tags=dog(score=20.833); tags=dogs(score=14.881)
28,"good dialogue, tarantino, pulp",3,tags=good dialogue(score=78.125); tags=tarantino(score=78.125); tags=pulp(score=52.083)
29,"earnest, catastrophe, excellent",3,tags=earnest(score=41.667); tags=catastrophe(score=39.062); tags=excellent(score=33.482)
30,"screwball, screwball comedy, witty",3,tags=screwball(score=45.956); tags=screwball comedy(score=43.403); tags=witty(score=26.786)
31,"kubrick, anti-war, complex characters",3,tags=kubrick(score=71.023); tags=anti-war(score=66.964); tags=complex characters(score=62.500)
32,"baseball, nasa, nudity (topless - brief)",3,tags=baseball(score=28.409); tags=nasa(score=26.042); tags=nudity (topless - brief)(score=26.042)
33,"costume drama, period piece, literary adaptation",3,tags=costume drama(score=14.648); tags=period piece(score=13.021); tags=literary adaptation(score=12.019)
34,"whimsical, shakespeare, conspiracy theory",3,tags=whimsical(score=24.038); tags=shakespeare(score=21.307); tags=conspiracy theory(score=18.382)
35,"simple, rabbits, great music",3,tags=simple(score=89.286); tags=rabbits(score=44.643); tags=great music(score=31.250)
36,"good dialogue, suprisingly clever, nonlinear",3,tags=good dialogue(score=78.125); tags=suprisingly clever(score=66.964); tags=nonlinear(score=62.500)
37,"pixar, pixar animation, toys",3,tags=pixar(score=156.250); tags=pixar animation(score=156.250); tags=toys(score=66.964)
38,"coen brothers, saturn award (best special effects), oscar (best writing - screenplay written directly for the screen)",3,tags=coen brothers(score=52.083); tags=saturn award (best special effects)(score=46.875); tags=oscar (best writing - screenplay written directly for the screen)(score=44.643)
39,"world war i, kurosawa, samurai",3,tags=world war i(score=104.167); tags=kurosawa(score=78.125); tags=samurai(score=66.964)
40,"california, court, courtroom drama",3,tags=california(score=52.083); tags=court(score=39.062); tags=courtroom drama(score=36.058)
41,"nonlinear, great soundtrack, mockumentary",3,tags=nonlinear(score=62.500); tags=great soundtrack(score=60.096); tags=mockumentary(score=44.643)
42,"broadway, dancing, screwball",3,tags=broadway(score=33.482); tags=dancing(score=18.939); tags=screwball(score=18.382)
43,"lyrical, boarding school, golden palm",3,tags=lyrical(score=44.643); tags=boarding school(score=39.062); tags=golden palm(score=24.510)
44,"spaghetti western, ennio morricone, moral ambiguity",3,tags=spaghetti western(score=133.929); tags=ennio morricone(score=93.750); tags=moral ambiguity(score=43.103)
45,"chick flick, happy ending, tear jerker",3,tags=chick flick(score=15.944); tags=happy ending(score=15.625); tags=tear jerker(score=14.205)
46,"dynamic cgi action, original plot, saturn award (best special effects)",3,tags=dynamic cgi action(score=109.375); tags=original plot(score=78.125); tags=saturn award (best special effects)(score=78.125)
47,"jay and silent bob, view askew, slackers",3,tags=jay and silent bob(score=117.187); tags=view askew(score=117.187); tags=slackers(score=78.125)
48,"star wars, saturn award (best special effects), oscar (best effects - visual effects)",3,tags=star wars(score=117.187); tags=saturn award (best special effects)(score=78.125); tags=oscar (best effects - visual effects)(score=62.500)
49,"afi 100, earnest, rebellion",3,tags=afi 100(score=34.180); tags=earnest(score=20.833); tags=rebellion(score=20.380)
50,"oscar (best writing - screenplay written directly for the screen), good acting, excellent",3,tags=oscar (best writing - screenplay written directly for the screen)(score=66.964); tags=good acting(score=58.036); tags=excellent(score=44.643)
51,"death penalty, baseball, father daughter relationship",3,tags=death penalty(score=31.250); tags=baseball(score=28.409); tags=father daughter relationship(score=14.205)
52,"literature, workplace, heartwarming",3,tags=literature(score=22.321); tags=workplace(score=20.833); tags=heartwarming(score=12.669)
53,"business, heroin, islam",3,tags=business(score=39.062); tags=heroin(score=34.722); tags=islam(score=24.038)
54,"freedom, realistic, forceful",3,tags=freedom(score=34.722); tags=realistic(score=29.297); tags=forceful(score=27.574)
55,"terrorism, james bond, bond",3,tags=terrorism(score=46.875); tags=james bond(score=31.250); tags=bond(score=29.297)
56,"man versus machine, artificial intelligence, oscar (best sound)",3,tags=man versus machine(score=117.187); tags=artificial intelligence(score=104.167); tags=oscar (best sound)(score=104.167)
57,"archaeology, star trek, james bond",3,tags=archaeology(score=44.643); tags=star trek(score=34.722); tags=james bond(score=31.250)
58,"man versus machine, star wars, artificial intelligence",3,tags=man versus machine(score=117.187); tags=star wars(score=117.187); tags=artificial intelligence(score=104.167)
59,"fake documentary, artist, eccentricity",3,tags=fake documentary(score=28.409); tags=artist(score=24.038); tags=eccentricity(score=11.161)
60,"lynch, brutal, virtual reality",3,tags=lynch(score=34.722); tags=brutal(score=31.250); tags=virtual reality(score=26.042)
61,"1950s, spiders, monsters",3,tags=1950s(score=55.804); tags=spiders(score=52.083); tags=monsters(score=33.482)
62,"swedish, photography, kubrick",3,tags=swedish(score=104.167); tags=photography(score=42.614); tags=kubrick(score=28.409)
63,"shopping, good romantic comedies, girlie movie",3,tags=shopping(score=104.167); tags=good romantic comedies(score=56.818); tags=girlie movie(score=28.609)
64,"crime gone awry, las vegas, con artists",3,tags=crime gone awry(score=35.511); tags=las vegas(score=31.250); tags=con artists(score=28.409)
65,"exceptional acting, guilt, heartbreaking",3,tags=exceptional acting(score=26.042); tags=guilt(score=20.833); tags=heartbreaking(score=20.380)
66,"aardman studios, claymation, aardman",3,tags=aardman studios(score=156.250); tags=claymation(score=156.250); tags=aardman(score=156.250)
67,"bad plot, based on a tv show, kids",3,tags=bad plot(score=16.447); tags=based on a tv show(score=15.121); tags=kids(score=13.993)
68,"shopping, good romantic comedies, cute!",3,tags=shopping(score=104.167); tags=good romantic comedies(score=42.614); tags=cute!(score=29.297)
69,"slapstick, talking animals, dogs",3,tags=slapstick(score=28.409); tags=talking animals(score=21.802); tags=dogs(score=14.881)
70,"transgender, australia, england",3,tags=transgender(score=24.038); tags=australia(score=23.437); tags=england(score=17.361)
71,"boxing, explosions, russia",3,tags=boxing(score=34.722); tags=explosions(score=31.250); tags=russia(score=28.409)
72,"western, war movie, Western",3,tags=western(score=19.055); tags=war movie(score=18.750); genres=Western(score=15.625)
73,"hip hop, new jersey, pg-13",3,tags=hip hop(score=26.042); tags=new jersey(score=26.042); tags=pg-13(score=14.205)
74,"fairy tales, 1980s, silly",3,tags=fairy tales(score=20.833); tags=1980s(score=19.531); tags=silly(score=18.382)
