source_id,type,url,author,date,rank_or_topic,map12_public,map12_private,audience_signal,thesis_tags,status,notes_file
01_aji_samudra_89th_silver,blog,https://ajisamudra.medium.com/silver-medal-solution-on-kaggle-h-m-personalized-fashion-recommendations-a0878e1eae63,Aji Samudra & Hervind Philipe,2022,89/2952 silver,,,Medium public,cold-start;feature-importance;repeat-purchase;temporal-split;ensemble,extracted,01_aji_samudra_89th_silver.md
02_wp_zhang_45th_silver,writeup,https://github.com/Wp-Zhang/H-M-Fashion-RecSys,Wp-Zhang,2022,45/3006 silver,0.0292,0.02996,public GitHub repo,ensemble;image-features;text-features;cf-only;temporal-split,extracted,02_wp_zhang_45th_silver.md
03_fujikawa_12th_gold,video,https://speakerdeck.com/kfujikawa/h-and-m-personalized-fashion-recommendation,Kazuki Fujikawa,2022,12/2952 gold,0.0339,,SpeakerDeck post-mortem,feature-importance;repeat-purchase;image-features;ensemble;temporal-split;cf-only,extracted,03_fujikawa_12th_gold.md
04_jingsailian_top1_top3_summary,writeup,https://www.jingsailian.com/news/110624.html,uncredited (paraphrases senkin13 et al.),2022,1st & 3rd place,0.0372,0.0379,Chinese community summary,ensemble;repeat-purchase;cf-only;temporal-split;feature-importance,extracted,04_jingsailian_top1_top3_summary.md
05_mike_chesnokov_142nd_bronze,writeup,https://github.com/mike-chesnokov/kaggle_hm_recs_2022,mike-chesnokov,2022,142/2952 bronze,0.02530,0.02554,public GitHub repo,ensemble;repeat-purchase;cf-only;temporal-split,extracted,05_mike_chesnokov_142nd_bronze.md
06_altimetrik_poland_top1.6pct,blog,https://altimetrikpoland.medium.com/retrieval-ranking-recommendation-system-for-h-m-dataset-728fdb32caa6,Altimetrik Poland Tech Blog,2022,claimed top 1.6% (unverified),,,corporate Medium blog,cold-start;image-features;cf-only;temporal-split;repeat-purchase,extracted,06_altimetrik_poland_top1.6pct.md
07_future_architect_46th_gold,blog,https://future-architect.github.io/articles/20220602b/,Future Architect Inc.,2022-06-02,46/2952 gold,~0.0410 (est.),,corporate JP tech blog,image-features;text-features;repeat-purchase;temporal-split;ensemble,extracted,07_future_architect_46th_gold.md
08_singharoy_damico_flairs2023,paper,https://journals.flvc.org/FLAIRS/article/view/133307,Singha Roy/D'Amico/Lawlor/Hurley (UCD),2023,top 2% (~60/2954) - confirmed 43rd via repo,0.0343,,peer-reviewed FLAIRS paper + code,temporal-split;cf-only;seasonality;repeat-purchase;feature-importance;ensemble,extracted,08_singharoy_damico_flairs2023.md
09_haradai1262_github_code,writeup,https://github.com/haradai1262/h-and-m-personalized-fashion-recommendations,haradai1262,2022,unknown,,,GitHub code-only (no README),repeat-purchase;temporal-split;cf-only;feature-importance;ensemble,extracted,09_haradai1262_github_code.md
10_kuto5046_23rd_silver,video,https://speakerdeck.com/kuto5046/kaggle-h-and-mkonpezhen-rifan-ri,kuto5046,2022,23/2952 silver,,,SpeakerDeck post-mortem,image-features;text-features;ensemble;temporal-split;cf-only;repeat-purchase,extracted,10_kuto5046_23rd_silver.md
